id,text,created_at,lang
1968383854991000001,@ukrainiansquad Ukraine with Zelenskyy is the biggest threat  to WORLD PEACE!,2025-09-17 18:37:36+00:00,en
1968383636434231685,"Ukraine’s sovereignty is non-negotiable.  We fight not just for land, but for justice that Russian moscovia owes us for every stolen breath and broken life.  The only true peace comes when moscovia pays its debt and our land is whole again.",2025-09-17 18:36:44+00:00,en
1968383612627378318,"#USA WANTS WAR 
#Merz  WANTS WAR 
He promised that ""after Ukraine's capitulation, Russia will attack Europe"":
“Capitulation will only push Putin to search for his next target. (??) Ladies and gentlemen, in recent days we have witnessed violations of Polish and Romanian airspace. https://t.co/agZwBkFak4",2025-09-17 18:36:38+00:00,en
1968383464274567667,"A man opened fire on a Romanian, mistakenly taking him for a Ukrainian, in a shopping center in Wrocław, — Wyborcza

During the attack, he also beat the victim, shouting that he had no right to live in Poland and should return to Ukraine.

It is currently known that the shooter https://t.co/kR97i3ZpEX",2025-09-17 18:36:03+00:00,en
1968383417730613551,@sashafrp @Defence_Index I don’t want to attack I want Russia to stop illegally invading Ukraine. Not worried about Serbia or Venezuela because they’re harmless.,2025-09-17 18:35:52+00:00,en
1968382739557523630,"Trump has ended up in a diplomatic dead end

Donald Trump believed that, with his style, his relations and his determination to press both sides, he could bring peace in Ukraine. He tried. But now it seems that he has given up, and on the battlefield the war is now raging at even https://t.co/CZM9SIwHLI",2025-09-17 18:33:10+00:00,en
1968382665544941776,"#USA WANTS WAR 
#Merz  WANTS WAR 
He promised that ""after Ukraine's capitulation, Russia will attack Europe"":
“Capitulation will only push Putin to search for his next target. (??) Ladies and gentlemen, in recent days we have witnessed violations of Polish and Romanian airspace. https://t.co/JZiTjRrQSJ",2025-09-17 18:32:52+00:00,en
1968382551619412131,"@secretsqrl123 The muddy terrain of autumn is approaching. If Ukraine is planning an attack, it will not take place until winter is well settled in.",2025-09-17 18:32:25+00:00,en
1968382234999869540,@ZelenskyyUa The only country who can provide and assuring peace and security guaranties for Ukraine is... Russia. No kidding.,2025-09-17 18:31:10+00:00,en
1968382036936389097,@jackknopf4024 @Damaan4u33 Brokered what peace deals ? As for Ukraine/Russia  hes already stated hes stopping aid to Ukraine . He is a fucking traitor and the only way he gets peace is by cutting off the aid and letting Putin get what he wants . He is Putins Puppet and your delusiona,2025-09-17 18:30:23+00:00,en
1968381957714403557,@mobbs_mentality It's Zelensky whore. Nothing good for Ukraine. Just war to last Ukrainian. Fuck off from Ukraine democrats. Peace of shit.,2025-09-17 18:30:04+00:00,en
1968381943785078942,"The #Alaska summit ended without a #ceasefire or a binding #peacedeal, with both #leaders underlining that “there’s no deal until there’s a deal” on #Ukraine war: Harsh V. Pant https://t.co/eDqsHYeeRD",2025-09-17 18:30:00+00:00,en
1968381417173192942,Opinion: ‘There is no way to achieve peace in Ukraine that compels our stalwart ally to cede territory to Russia.’ Letters to the editor for Sept. 17 - The Globe and Mail. Furey is a idiot who like  idol Trudeau made ridiculous statements! Minsk accord 😀 https://t.co/QhWJ4mZANK,2025-09-17 18:27:55+00:00,en
1968381235056783521,"@GilangPutr16738 @MollyS51523779 @Relaxinginhouse @AMK_Mapping_ Russia does not agree to any deals, neither US nor Ukraine. Because they want the land, not peace https://t.co/d7daHFtLDw",2025-09-17 18:27:11+00:00,en
